"","crop","country","ac1","cv","Ha","d","dip.p","pollination_syndrome","sp_latin"
"39","Carob","Italy",-0.16651592022657,0.263849118691592,14778.0172413793,0.0431281760699167,0.601570231849033,"Insect","Ceratonia_siliqua"
"40","Carob","Portugal",-0.156886251804865,0.199150589824781,12928.8529411765,0.0429740200531513,0.931980029459142,"Insect","Ceratonia_siliqua"
"41","Carob","Morocco",-0.685725254515968,0.0704225935440838,10744.3529411765,0.0366925865907726,0.990552363330678,"Insect","Ceratonia_siliqua"
"42","Carob","Greece",-0.0303035552350823,0.174117507229751,6968.76470588235,0.0512359098481706,0.724366739250826,"Insect","Ceratonia_siliqua"
"43","Carob","Cyprus",-0.262861039270259,0.358968994840844,9842.6724137931,0.026760479996578,0.992902632151578,"Insect","Ceratonia_siliqua"
"44","Carob","Turkey",0.150128082903598,0.0851447770562055,3582.12068965517,0.0419309268083127,0.652483323748047,"Insect","Ceratonia_siliqua"
"45","Carob","Algeria",-0.0343993321969191,0.145587716344351,3192.22413793103,0.0244948953101821,0.995474422145832,"Insect","Ceratonia_siliqua"
"46","Carob","Lebanon",-0.105191945275695,0.100402001866476,350.142857142857,0.0597538597252891,0.817400613126177,"Insect","Ceratonia_siliqua"
"47","Carob","Israel",-0.143545424197756,0.21794563470736,1934.93103448276,0.0356372630992188,0.885346037736857,"Insect","Ceratonia_siliqua"
"48","Cashew","Viet Nam",0.247146299805926,0.212624030187076,118339.827586207,0.0449182060708427,0.526499831129072,"Insect","Anacardium_occidentale"
"49","Cashew","India",0.0622952260176728,0.0597917426214421,575963.275862069,0.0425726406389948,0.625194407160522,"Insect","Anacardium_occidentale"
"50","Cashew","Nigeria",0.451835151780815,0.189880764596016,124986.982758621,0.0188188192210344,1,"Insect","Anacardium_occidentale"
"51","Cashew","Côte d'Ivoire",-0.0976719382753005,0.187845884835161,316035.482758621,0.0268237502748365,0.992830810573009,"Insect","Anacardium_occidentale"
"52","Cashew","Brazil",-0.275989338185645,0.276905935674611,657191.310344828,0.043969836818716,0.960803147201033,"Insect","Anacardium_occidentale"
"53","Cashew","Mozambique",0.0172354368669154,0.0651011966694452,132193.224137931,0.0318052999239276,0.964946237273221,"Insect","Anacardium_occidentale"
"54","Cashew","United Republic of Tanzania",0.241743567231043,0.188608580101243,180777.672413793,0.030533658834449,0.98107042381553,"Insect","Anacardium_occidentale"
"55","Cashew","Indonesia",0.260747045896695,0.141904506424692,343220.318181818,0.0398659633017481,0.900560754846183,"Insect","Anacardium_occidentale"
"56","Cashew","Philippines",-0.149186397825173,0.192692188801894,16884.0175438596,0.0350864358557713,0.908405503030377,"Insect","Anacardium_occidentale"
"57","Cashew","Guinea-Bissau",0.324560714832568,0.0514852101609285,105664.931034483,0.0342095905125929,0.921512064635189,"Insect","Anacardium_occidentale"
"58","Chestnut","China, mainland",-0.0163772634916906,0.0468404915954552,164211.470588235,0.0363914481952627,0.990796512108356,"Wind","Castanea_sativa"
"59","Chestnut","Italy",-0.0723687029353739,0.0295096384964564,23479.5294117647,0.0395302894847927,0.975792757456485,"Wind","Castanea_sativa"
"60","Chestnut","Turkey",0.306250037063737,0.0961138121898975,39270.3448275862,0.0239507053292311,0.996092162173997,"Wind","Castanea_sativa"
"61","Chestnut","Republic of Korea",0.281714474739917,0.0432178906281258,25608.3103448276,0.0315059169211538,0.968949267824673,"Wind","Castanea_sativa"
"62","Chestnut","Bolivia (Plurinational State of)",-0.0117909633356848,0.0791400557274936,34144.8529411765,0.0307779321827457,0.995347685566698,"Wind","Castanea_sativa"
"63","Chestnut","Japan",0.196866122740294,0.106922020612257,31237.9310344828,0.0351748637896947,0.900136880701055,"Wind","Castanea_sativa"
"64","Chestnut","Portugal",-0.293317193760655,0.147180361359123,29331.6724137931,0.0352004969917403,0.899375195916951,"Wind","Castanea_sativa"
"65","Chestnut","Spain",-0.188986298054493,0.163850102649639,16012.1470588235,0.045689905809593,0.877101653049372,"Wind","Castanea_sativa"
"66","Chestnut","France",-0.2168576821606,0.106139001516364,8445.11764705882,0.052159490782284,0.695486691245597,"Wind","Castanea_sativa"
"67","Chestnut","Greece",-0.0639758584568915,0.0929157092807462,8490.35294117647,0.0480196615053617,0.819114901344655,"Wind","Castanea_sativa"
"68","Citrus","India",-0.107233359310576,0.0865248123031197,117907.931034483,0.0280304853608684,0.9914609790948,"Insect","Citrus_limon"
"69","Citrus","Mexico",-0.0918139125417098,0.0446312153700411,87606.4655172414,0.0343931939954535,0.91744631630237,"Insect","Citrus_limon"
"70","Citrus","United States of America",-0.151261121820382,0.128417107289351,26217.1206896552,0.0446567231618624,0.537462686434503,"Insect","Citrus_limon"
